name_wet,name_pronunciation,meaning,name_english,village,utm_zone,easting,northing
C'iyiz K'iz,guh-yeez k-uz,Half a Rack (for drying meat),Evelyn Mountain,,,,
Ts'en Co Tanedilh,ts-ayn kyo tah-nay-dihl,Swans Land in the Water,Toboggan Lake,,9,612303.108,6081770.835
Nehldzi Cek,nayhl-dzee guek,Mouth of Otter Creek,Houston (Buck Creek),,9,651924.657,6030905.287
Cel Winiits Bin,kayl wuh-neets bun,Spawning Salmon in the Middle Lake,McDonell and Dennis lakes area,,,,
C'inulh K'it,gui-noohl k-ut,Swampy Place,Seymour Lake and a village site,,,,
Lheet,hlay-tayt,Where Roads Come Together,Hungry Hill area,,,,
Tse Zul,tseh zool,Shale Rock,China Nose,,,,
Lhetet,,,Barrett Lake,TRUE,9,644125.475,6035539.316
Tacot Tabegh,,,Tyee Lake,TRUE,9,626395.33,6063939.949
Witset,,,,TRUE,9,606814.988,6099002.392